Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Core i7-875K,Lynnfield,4 / 8,2.933 to 3.6 GHz,Socket 1156,45 nm,8MB,95 W,"May 30th, 2010"
Core i7-880,Lynnfield,4 / 8,3.066 to 3.733 GHz,Socket 1156,45 nm,8MB,95 W,"May 30th, 2010"
Pentium E6700,Wolfdale,2,3.2 GHz,Socket 775,45 nm,,65 W,"May 30th, 2010"
Pentium U5400,Arrandale,2,1200 MHz,BGA 1288,32 nm,3MB,18 W,"May 25th, 2010"
Atom Z600,Lincroft,1,1200 MHz,BGA 518,45 nm,,1 W,"May 4th, 2010"
Atom Z605,Lincroft,1,1000 MHz,BGA 518,45 nm,,2 W,"May 4th, 2010"
Atom Z610,Lincroft,1,800 MHz,BGA 518,45 nm,,1 W,"May 4th, 2010"
Atom Z612,Lincroft,1,900 MHz,BGA 518,45 nm,,1 W,"May 4th, 2010"
Atom Z615,Lincroft,1,1600 MHz,BGA 518,45 nm,,2 W,"May 4th, 2010"
Atom Z620,Lincroft,1,900 MHz,BGA 518,45 nm,,1 W,"May 4th, 2010"
Atom Z625,Lincroft,1,1900 MHz,BGA 518,45 nm,,2 W,"May 4th, 2010"
Core i5-680,Clarkdale,2 / 4,3.6 to 3.866 GHz,Socket 1156,32 nm,4MB,73 W,"Apr 19th, 2010"
Pentium E5500,Wolfdale,2,2.8 GHz,Socket 775,45 nm,,65 W,"Apr 18th, 2010"
Xeon E5503,Gainestown,2,2000 MHz,Socket 1366,45 nm,4MB,80 W,"Mar 16th, 2010"
Xeon E5507,Gainestown,4,2.266 GHz,Socket 1366,45 nm,4MB,80 W,"Mar 16th, 2010"
Xeon E5620,Westmere-EP,4 / 8,2.4 to 2.666 GHz,Socket 1366,32 nm,12MB,80 W,"Mar 16th, 2010"
Xeon W3530,Bloomfield,4 / 8,2.8 to 3.066 GHz,Socket 1366,45 nm,8MB,130 W,"Mar 16th, 2010"
Xeon W3680,Gulftown,6 / 12,3.333 to 3.6 GHz,Socket 1366,32 nm,12MB,130 W,"Mar 16th, 2010"
A4-3320M,Llano,2,2 to 2.6 GHz,Socket FS1,32 nm,,35 W,"Dec 20th, 2011"
A4-3330MX,Llano,2,2.2 to 2.6 GHz,Socket FS1,32 nm,,45 W,"Dec 20th, 2011"
